,标题,总价格,单价,地段,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,"
                                  ","
                                      ","
                              ",挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,别墅类型
10,低总价三房+大众认可楼层+实用户型+交通好+业主诚意售,289,40084,"['闵行', '航华']",航东路750弄,3室1厅1厨1卫,低楼层 (共6层),72.1㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯四户,有,暂无数据,无抵押,共有,已上传房本照片,202409557269,户型实用+楼层很棒+价格低+交通好+业主好+税费少+环境好,户型实用，低总价三房，这类户型在整个航华都是很少有，如果觉得合适就选择，不用犹豫。加上楼层也是很受认可的低楼层，在楼梯房里面很受欢迎。,业主人很好，很诚意出售，希望尽快遇到有缘的买家，看房也是很方便，租客很好。,三大公园（航华公园+闵行文化公园+动物园）滋养的负氧离子环境，71路24小时专用车道，外环高速，沪青平公路，虹桥机场，虹桥高铁站，除了水里游的，交通工具多多益善。爱琴海+万象城+七宝万科+沪青平步行街+航华步行街+航北路步行街+航东路步行街。,,,
11,精品好房，适合年经人刚需购房，总价低，诚意出售！,345,41844,"['闵行', '颛桥']",繁盛苑,2室2厅1厨1卫,中楼层 (共6层),82.45㎡,平层,暂无数据,板楼,南 西,钢混结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409008558,小区花园位置，前后无遮挡，诚意出售，看房随时,繁盛苑坐落于闵行区颛桥镇里面位置 ，属于外环外 ，配套发展齐全绿植繁茂 ，空气清新，干净宜人，居住适宜 ，小区旁边就是颛桥公园 ，主力户型面积在60-180平米左右 ，适合改善和刚需的您,采光好，喜欢的客户一定要来看下，这个小区前后楼间距宽，采光完全没有遮挡，而且这套房子位置好。装修简单，买进后可以按照自己需求去装修,房屋是2002-2003年的商品房属性，南北直通的户型通风效果很好，中间楼层老少皆宜，两个阳台储物空间更大,商场：万达广场，东苑米蓝广场，鑫都综合广场 便民：罗森便利店，繁安路菜市场等 公园：颛桥公园，颛桥文化体育，颛桥水文化公园 医院：颛桥卫生院 银行：中国工商银行，中国建设银行，中国银行，中国农业银行，邮政储蓄银行,,
12,电梯一房 户型正 满五税少地铁-5+23号线 闵行醇熟商圈,112,30312,"['闵行', '老闵行']",鹤明小区,1室1厅1厨1卫,高楼层 (共6层),36.95㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯四户,有,暂无数据,有抵押 20万元 公积金贷款 业主自还,共有,已上传房本照片,202308214352,已加装电梯一房一厅，满五年税费少，视野好地铁5+23号线 户型正,鹤明小区室85-93年的小区，物业费1元/平，一个车行门，三个人行门。出门口就是兰坪路菜市场和鹤庆路江川路街道，西边就是上海市第五人民医院。,"小区离第五人民医院直线800m,东南西南2个菜场，分别是兰坪路菜场和瑞丽路菜场距离200米左右。小区南边有红园，另外小区西北方700米处有在建的4个亿体育馆在建，小区西边距离碧江广场1000米，欧尚广场800m左右各种生活配套完善周末休闲娱乐一应俱全。",满五年，就这一套，没有增值税和个税。首套契税1个点，二套3个点。,小区位于鹤庆路上面，在鹤庆路路与兰坪路交界口，距离地铁5号线金平路站800米，5号线江川路地铁站900米。,,
13,近M8联行路，满五，V一 南北通三房  房东诚心出售,450,45046,"['闵行', '浦江']",浦江世博家园十五街坊,3室2厅1厨1卫,中楼层 (共11层),99.9㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,有,暂无数据,无抵押,共有,已上传房本照片,202409216277,这套房子诚心卖，南北通透三房 双厅双阳台 户型很正气 采光好,小区是2006年竣工版式住宅，小区按照商品房建造的，多层和高层交错，居住密度低。原始南北户型，主卧室也带有拐角大飘窗，通风性好，采光充足。,"浦江生活广场，华联.联华众多便利店.菜市场。还有浦驰路一条沿街商铺，可以满足有的生活需求,医院有仁济医院三甲综合医院、复旦大学附属耳眼鼻喉科专科医院等。交通方便8号线联航路江月路地铁站，小区门口就有公交车站",离8号线地铁联航路站近步行即可，公交163路，915路，177路，浦江1路，浦江10路，浦江4路，闵行11路，闵行12路等小区都有站点，出行便利，8号线联航路站直达人民广场。,,,
14,满五年，楼层好，位置好，采光通风好,173,40506,"['闵行', '古美']",新梅花苑,1室1厅1厨1卫,高楼层 (共6层),42.71㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,非共有,已上传房本照片,202509706153,满五年，楼层好，位置好，采光通风好,繁华地段，南房间户型可塑性强，小区位置也不错很安静，内阳台！,适合年轻刚需的人群，楼下就是沿河景观，公园，跑道，周末可以跟家人锻炼，散心,区门口就是公交站（732路，704路，闵行1路，古美环线等），哈罗单车，mobi自行车充足，距离1号线上海南站3站，可换乘多条地铁线，交通方便，莘庄立交可上各大高速,,,
15,拎包入住+中间楼层 +出入方便+全明户型近地铁5+23号线,110,25683,"['闵行', '老闵行']",红旗五村,1室1厅1厨1卫,中楼层 (共4层),42.83㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409628704,M五+全明户型+5+23号线+近地铁+业主诚心+中间楼层,楼栋总数： 77栋 房屋总数： 1091户占地面积： 6000平米 绿 化 率： 35%建筑面积： 13200平米 容 积 率： 2.2地上车位： 200个 停 车 费： 150元/月开 发 商： 闵行弄山有限公司车位配比： 1:0.2 物业信息： 上海闵碧物业管理有限公司,小区环境舒适近地铁有公园小户型总价低适合首套刚需客户群体客户以小年轻夫妻为主配套成熟居住便利第三种客户群体是市区叔叔阿姨置换 房空气质量好适合,生活：有龙湖天街、碧江广场、欧尚置业广场三大购物商场，景谷路有农工商银行、乐嘉，联华、永辉、家得利等生活方便，医院：距复旦大学附属医院第五人民医院1公里，三级乙等综合性医院。小区门口在建一个社区医院,1.自驾：嘉闵高架5.3公里、S32申嘉湖高速2.4公里、S4沪金高速4.4公里 2.公交：江川1路、2路、4路、6路，闵行29路、21路、35路、19路、16路、40路，143路3.地铁： 3.距离5号线金平路站1.1公里。北达莘庄、对接1号线，到上海南站、徐家汇；南至奉贤,,
16,三开间朝南，景观楼层，配套成熟，原始动迁税费少,188,25917,"['闵行', '闵浦']",浦江瑞和城陆街区（南）,2室1厅1厨1卫,高楼层 (共18层),72.54㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,无抵押,非共有,已上传房本照片,202409645970,2017年的新小区，环境好，无遮挡，南北通三房，户型好,全南户型，两室二厅一卫，主卧朝南，三开间朝南，客厅朝南带阳台,房东诚意出售，到价即可签字，经调查此房无任何产权纠纷，产权清晰，款清即可交房,小区所在位置比较繁华，配套设施完善却成熟，大型商场有浦江万达广场，山钢和润生活广场。永辉商场。咖啡厅电影院等配套齐全。公园有浦江森林公园 浦江郊野公园 浦江玫瑰园 为您休闲之余，饭后散步提供便捷场所，地铁有地铁8号线浦江延长线，出行便利 交通..,"地铁：浦江线500米，步行即可到达公交站，地铁站交通便利。公交：公交线路众多，小区侧门公交总站，浦江20路，浦江11路，浦江9路，174路,183路，772路，卢杜专线。开车：小区近浦星公路，可以直接到南北高架，虹梅南路高架直接市区",,
17,花园旁、楼层好、位置好、 户型好，满五、随时可看,280,36506,"['闵行', '颛桥']",兴银花园,2室1厅1厨1卫,中楼层 (共6层),76.7㎡,平层,暂无数据,板楼,西,砖混结构,精装,暂无数据,无,暂无数据,有抵押 38万元 业主自还,共有,已上传房本照片,202509720900,花园旁、中间楼层、位置好、楼间距宽敞，满五年 V一,兴银花园是商品房，分为两期，一期1995-1996年，二期1999年，小区为总高六层不带电梯的多层住宅，小区分为一梯两户和一梯四户。主要以一梯两户为主，小区有两个进出口，东门（都市路）为小区正大门，机动车和非机动车行人均可出行，西门为非机动车和行人..,本房室小区1期的76.7平米边套，全明户型，南 北 通户型， 户型方正，双阳台，阳台很大，全明户型， 中间位置，楼层好，得房率高,小区在都市路沿线，出门560米可达龙胜国际盛业广场，吃喝玩乐购均能满足；都市路出门往南方向，往都市路颛兴路口就是万达购物广场；丰顺路出门有菜场，早晨五点至中午13点开放，可买到各类新鲜蔬菜、水果、鱼虾和肉类；小区门口就是公交车站，出行十分便利,都市路出门开车900米可上S4沪金高速，小区西北门到达5号线地铁银都路站1.6公里，都市路出小区大门20米就是公交站台，数条公交可到莘庄南广场可换乘地铁1号线，有徐闵线和虹桥4路直达虹桥站，有143、712、莘南线、莘金线等。出行便利。,,
18,新上房源，顶楼复式，总价低采光好,627,61914,"['闵行', '龙柏']",龙柏香榭苑,3室1厅1厨2卫,高楼层 (共11层),101.27㎡,复式,暂无数据,板楼,南,钢混结构,简装,一梯五户,有,暂无数据,无抵押,非共有,已上传房本照片,202409590244,电梯房  采光好 小区环境好 绿化高 人车分流,本小区是复地集团开发的，房龄是2001到2002年，当时由法国设计师操刀设计，意在打造一个花园式住宅的小区，所以小区绿化很高，各种名贵绿植，也有小桥竹林，会所喷泉，半人车分流，居住舒适度高，小区离地铁近，出行便利,小区半人车分流，汽车走小区外围一圈，家有老人、小孩可放心走中轴绿化景观，人文环境好，近地铁、商圈成熟生活便利，比较适合年轻夫妻带小孩或者叔叔阿姨辈的居住，小区自带活动馆，游泳健身皆可,地铁，距离10号线龙柏新村站只要600米，设施配套完善，吃喝玩乐购条件成熟,小区距离十号线龙柏新村站4号口500米，公交线路众多：57始发站、867、753、809、804始发站；开车至S20外环高速、延安高架均在1公里左右。,,
19,滨三近地铁+南北通自主装修+适宜老人,250,32422,"['闵行', '浦江']",滨浦新苑三村,2室2厅1厨1卫,低楼层 (共6层),77.11㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,有抵押 80万元,共有,已上传房本照片,202409528757,满五，业主自主装修，适宜老人居住，南北通户型,小区位于闵行区浦江镇，竣工日期为2007年，2018年闵行区美丽家园项目覆盖小区，从小区外沥面到小区楼道已整改完毕 给您一种新家 一种焕然一新的感觉 ，物业是华侨城物业 ，目前由浦锦街道管辖,小区付近有菜市场，商场，医院等。大型商场有浦江城市生活广场、绿地乐和城；购物有卜蜂莲花、永辉；周末休息可以去浦江郊野公园呼吸呼吸新鲜空气，带上家人出游也很惬意,交通有8号联航路站，小区门口就有公交车站，可乘坐浦江10路，18路，5路，闵行11路等，也可以骑公共出行单车，打出租车等。出门有申嘉湖高速，南北高架25分左右直达市区,,,
20,老业主委托 全明户型 户型方正 采光通透,233,38686,"['闵行', '颛桥']",兴银花园,2室1厅1厨1卫,中楼层 (共6层),60.23㎡,平层,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,无抵押,非共有,已上传房本照片,202509706124,老业主委托 全明户型 户型方正 采光通透,兴银花园是商品房，分为两期，一期1995-1997年，二期1999年，小区为总高六层不带电梯的多层住宅，小区分为一梯两户和一梯四户。主要以一梯两户为主，小区有两个进出口，东门（都市路）为小区正大门，机动车和非机动车行人均可出行，西门为非机动车和行人出行,小区在都市路沿线，出门560米龙胜国际盛业广场，吃喝玩乐购均能满足；都市路出门往南方向，往都市路颛兴路口就是万达购物广场；丰顺路出门有菜场，早晨可买到各类新鲜菜品；小区附 近有田园公园、剪纸大观园，800米内有工行、建行、农行和邮储银行，生活便利,都市路出门开车900米可上S4沪金高速，小区西北门到达5号线地铁银都路站1.5公里，都市路小区出门就是公交站台，数条公交到莘庄南广场可换乘地铁1号线，如143、712、莘南线、莘金线等。（本描述中距离都均参考百度地图）,,,
21,总价低，精装修，近地铁，配套齐全，,93,22969,"['闵行', '老闵行']",昆阳小区,1室1厅1厨1卫,中楼层 (共5层),40.49㎡,平层,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,有抵押 50万元,共有,已上传房本照片,202509711907,大区带看必看房，总价低，精装修，中间楼层，保养好，可直接住。,首套刚需，首付低，可以正常贷款，需要交通方便的上班族，年轻人的选择。,标准一室一厅，装修保养可以直接拎包入住，采光好，没什么遮挡。,600米五号线闵行开发站，23号线在建，门口公交有马桥1路直达马桥，江川1路直达上海第五人民医院，南有闵浦三桥对接奉贤，北有嘉闵高架进入市区，交通便利。,,,
22,3字开头买高品质商品两房！安家虹桥商务区！,335,37557,"['闵行', '华漕']",虹桥1号,2室2厅1厨1卫,低楼层 (共12层),89.2㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,暂无数据,有抵押 189万元 业主自还,共有,已上传房本照片,202308604857,此房满五VY，南北通户型，不靠马路不靠高架！,小区适合淞虹路携程和航空公司的上班人群。可父母带小孩或者老人居住。生活便利，配套齐全。,小区边自带步行街，吃喝玩乐一条街，小区旁边就是大型果蔬肉类综合批发市场，方圆4公里有：万达广场，龙湖天街，虹桥天地。6公里为国际医学，目前华山医院西院（3甲医院）永磁康复,小区门口为836公交总站坐车到达北新泾地铁口，小区东边为北翟路，路上为北翟高架的上下口，向东连接内外环和延安高架，向西连接G20沈海高速，本小区距离虹桥高铁站和虹桥机场约4公里,,,
23,客厅主卧全朝南户型，30万精装， 高区视野采光好。,635,99938,"['闵行', '金虹桥']",古北尚郡,1室2厅1厨1卫,高楼层 (共14层),63.54㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,无抵押,非共有,已上传房本照片,202409653683,客厅主卧全朝南户型，30万精装， 高区视野采光好，拎包入住。,东苑集团25载，缔造虹桥醇熟国际社区，叠水幻境，畅享真正的浪漫生活，花园会客厅，一场不会落幕的度假PAPTY。阳光草坪，拥抱炫彩舞动的满庭芳香，贴心服务为生活加冕，体验回家即度假的魅力。外立面采用经典的 artdeco风格，小区半人车分流设计。,小区位于闵行区金虹桥板块，生活设施配套齐全。小区2公里范围内有爱琴海购物广场、万象城、虹桥盛世莲花广场、金虹桥商场等综合体。无论是休闲还是购物，都能满足日常所需，小区门口已经建好商场，正在招商，出门五十米就是大型菜市场。,多条高架地铁，构筑便捷交通路网。轨道交通9号线，10号线，延安高架，中环线、外环线环伺，四通八达。距离中环以及延安路高架出入口均约900米，距离外环约3公里。通达虹桥机场、虹桥火车站等地便捷。还有多条交通线路，保障居民出行的便利。,,,
24,卖点： 楼层好，三面景观，诚意卖，随时可看,1698,61665,"['闵行', '颛桥']",星河湾2号园,3室2厅1厨3卫,高楼层 (共26层),275.36㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,无抵押,非共有,已上传房本照片,202409637312,卖点： 楼层好，保养精致，景观楼层，随时可看，无睡费。,小区介绍： 星河湾以建筑、自然与人之和谐为主张，创造出京城罕见的住宅环境艺术。规划设计以环境内与外结合，建筑与环境结合、环境与功能结合、观赏性与实用性结合、环境与人..,无论是年轻人群还是中年或者是老年，星河湾总能留住你。园林是我们闵行区的靓点，适合很多人。,3个套房，户型通透，每个房间都带独立的卫生间，闵行星河湾装修是他的亮点层高3.3。,,,
25,精装修南北直通两房两卫，拎包入住位置安静九号线地铁,578,61772,"['闵行', '静安新城']",大上海国际花园,2室1厅1厨2卫,中楼层 (共7层),93.57㎡,平层,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409664605,位置安静户型方正经典户型  中楼层 南北大两房,小区是94-08年的纯商品房小区，小区一开始建设也是为了漕河泾的人才引进，所以整体人员素质还是很高的，小区还有一个2000平的中 心的大花园，您平常可以在这里散散步，晒晒太阳很是惬意。小区是闵行区较早的规划的商品房，户型好，楼间距大，道路宽敞。,小区原始的一些业主有中科院院士高素质人才，后续陆陆续续买进来的也大多都是漕河泾的互联网人才，还有国家核电，3M等大型公司,南北直通户型，得房率利用率高，业主诚意出售，追求品质楼盘经典户型不容错过,旁边3公里有爱琴海，万象城，韩国街等商 业配套，医院是上海第六人民医院，属于三甲医院，小区距离地铁口500米,小区附旁边三条地铁线，分别是9号线、10号线、12号线，到虹桥高铁站也只要20分 钟左右，平常出去旅游出差都是非 常方便的,
26,满五税少、户型两南一北、格局设计居家必备、采光好,599,59877,"['闵行', '静安新城']",大上海国际花园,3室2厅1厨2卫,中楼层 (共7层),100.04㎡,平层,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202408855123,满五税少、户型两南一北、格局设计居家必备、采光好,小区全部分成国际类的园林及每个国家的建筑风格，小区的植被茂密环境优美； 安保情况：小区面积比较大，小区的角角落落都有监控分布，小区20多个保安轮换，并且配有保安24小时全程巡逻，保证居民的生活居住安全。,房子业主是二手买进，此房采光无任何遮挡、老人进出方便，家人带娃方便,小区位置可以选择九号线合川路或者星中路站，自驾出行1KM可以上外环高速，2KM可以上中环，到虹桥也只需要7KM左右,1.两公里内爱情海和万象城两大商ye综合体 2.年轻人打卡网红地—韩国街，上百家烤肉店，满足您的口味 3.小区东门龙茗路一条街，生活购物便利 4.闵行体育公园和闵行文化公园—保障您的身体健康的需求,,
27,莘庄CBD品质小区，南北通，户型全明，采光通风好，,430,41655,"['闵行', '莘庄北广场']",宝安新苑,3室2厅1厨2卫,高楼层 (共6层),103.23㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,非共有,已上传房本照片,202409664325,此房位置好，南北通，户型全明，采光通风好，业主诚意卖,小区分一到五期，从1995年到2004年的房龄，小区内有停车场，儿童游乐园，小区围绕中间花园建设，环境优美，是平时散步的好地方。小区都是商品房，不是老破小。,一梯两户 两房朝南一房朝北户型，客厅南北通，板式建筑，户型方正，得房率高,小区紧靠莘庄CBD西子国际办公楼和怡丰城，购物有华润万家，龙之梦，医疗有社区医疗，闵行瑞金医疗，幼a儿园有闵行第三幼儿园，东苑佳佳幼儿园，生活方便。,小区位于疏影路繁华地段，门口有公交车站闵行21路，莘庄3路，704B出行方便，距离地铁12号线七莘路站1.5公里，距离莘庄地铁站2公里。,,
